title,description,timestamp,source,url,content
apalachee high school student arrested for allegedly bringing gun to campus months after deadly mass shooting,Officers arrested the 14-year-old Apalachee High School student without incident.,2025-01-10T16:38:23Z,nypost.com,https://nypost.com/2025/01/10/us-news/apalachee-high-school-student-arrested-for-allegedly-bringing-gun-to-campus-months-after-deadly-mass-shooting/,The Barrow County Sheriff’s Office said a 14-year-old student was arrested Wednesday after he allegedly brought a gun to Apalachee High School the same Georgia school where two students and two teachers were killed in a mass shooting in September. At approximately 2:02 p.m. school resource officers arrested the student without incident. “The student was cooperative and compliant when encountered by law enforcement officers and there have been no reports of the student threatening anyone with the gun” the sheriff’s office said. The boy who was not named due to his age has since been transported to a youth detention center. The boy was charged with theft being a minor in possession of a gun and possessing a weapon on school grounds.  Officials didn’t say what type of gun was seized or how the child acquired the gun. In response to the incident the Barrow County School System canceled Thursday’s classes at the high school and called for a meeting to discuss immediate safety enhancement options. “We understand this brings up many different feelings in each of us” the school system said. “We will update you all following the board meeting tomorrow with any changes regarding school procedures.”  On Sept. 4 14-year-old student Colt Gray allegedly opened fire at Apalachee High School killing two teachers and two students. Teachers Richard Aspinwall 39 and Cristina Irimie 53 and students Mason Schermerhorn and Christian Angulo both 14 were killed. Gray has since been indicted on 55 counts as an adult including 25 counts of aggravated assault. He has pleaded not guilty and faces a maximum penalty of life in prison without parole or life with the possibility of parole if convicted. His father Colin Gray who was arrested and charged with buying the semiautomatic AR-15-style rifle used in the shooting and giving it to Colt for Christmas is facing 29 counts including two counts of second-degree murder and two counts of involuntary manslaughter. He has also pleaded not guilty.  Georgia is one of 42 states in the U.S. that holds parents criminally responsible for their children.
california man alexander paffendorf apologizes for connection to wisconsin school shooting — without detailing his actions,Alexander Paffendorf expressed regret for his involvement when a judge offered a chance for final words before keeping an order to confiscate his guns and ammunition in place until April 4.,2025-01-04T06:15:16Z,nypost.com,https://nypost.com/2025/01/04/us-news/california-man-alexander-paffendorf-apologizes-for-connection-to-wisconsin-abundant-life-christian-school-shooter-natalie-rupnow/, A California man apologized Friday for his connection to a 15-year-old girl who fatally shot a teacher and fellow student at a religious school in Wisconsin telling a judge that he was prepared to accept the consequences of his actions without explaining his precise role. Alexander Paffendorf expressed regret for his involvement when a judge offered a chance for final words before keeping an order to confiscate his guns and ammunition in place until April 4. He didn’t elaborate in his brief statement but authorities have said he told FBI agents that he had been messaging Natalie Rupnow the Wisconsin shooter about attacking a government building with a gun and explosives. The student at Abundant Life Christian School in Madison killed Rubi Patricia Vergara a 14-year-old freshman and 42-year-old teacher Erin Michelle West and severely injured two other students before shooting herself. Police have not disclosed a motive. A day after the Dec. 16 attack a California judge issued a restraining order against Paffendorf 20 at the time under the state’s gun red flag law. It required him to turn his guns and ammunition into police. He has not been charged with any crime. Paffendorf appearing by video in a collared shirt and tie said Friday that he was ready for a hearing on whether the restraining order should stay in effect but San Diego Superior Court Judge Devon Lomayesva delayed consideration after an attorney for the city of Carlsbad north of San Diego said Pattendorf was under criminal investigation. The judge decided it was in his Pattendorf’s interest to delay the hearing because he is under investigation and did not have an attorney. A detective told the judge that the FBI expected the investigation to conclude within two to three months. The restraining order doesn’t say what government building Pattendorf targeted or when he planned to launch his attack. It also doesn’t detail his interactions with the student except to state that he was plotting a mass shooting with her.
heartbroken father of loving 16-year-old girl murdered in nashville school shooting sobs: ‘it’s not fair’,The devastated father of the 16-year-old Nashville schoolgirl gunned down by a self-loathing incel classmate Wednesday has spoken of his pain at knowing he will never see her again. “Every day I told her how much I loved her” Josselin Corea Escalante’s griev…,2025-01-23T16:56:17Z,nypost.com,https://nypost.com/2025/01/23/us-news/heartbroken-dad-of-16-year-old-girl-killed-in-nashville-school-shooting-says-its-not-fair/,The devastated father of the 16-year-old Nashville schoolgirl gunned down by a self-loathing incel classmate Wednesday has spoken of his pain at knowing he will never see her again. “Every day I told her how much I loved her” Josselin Corea Escalante’s grieving father German Corea told WTVF in Spanish. Corea said he never thought when he sent his daughter off to school Wednesday it would be the last time he would see the soccer-loving daughter he called “daddy’s little girl.” “It’s not fair” he said sniffing away tears. Josselin was shot multiple times by ROTC cadet Solomon Henderson 17 who then shot himself dead after also wounding another girl in the cafeteria at Antioch High School. Police are investigating whether she was targeted by Henderson who praised Adolf Hitler and wrote about being an incel — someone unable to attract people — because he was a “worthless subhuman a living breathing disgrace.” Josselin’s aunt described her as a daddy’s girl and loving older sister who worked hard in school and played soccer.  “She was a very calm girl and well-behaved” Maria Corea said. “She had good grades in school. She was a girl who loved her parents and all her family.” Investigators were poring through Henderson’s troubling online footprint where he reportedly espoused racial and antisemitic content. In Henderson’s disturbing social media musings obtained by WTVT he wrote that he  “was ashamed to be Black.”  “What happens on the incel forums … is that people of color are told the only reason they’re incels is because of their color and so it pushes them toward other extreme ideology that he apparently took on” ADL representative Carla Hill told The Post Wednesday night. Henderson posted antisemitic content and posted a flyer from the Goyim Defense League — a neo-Nazi white supremacy group — and praised Adolf Hitler. Additional writings reported by The Tennessean included statements against “race-mixing” with a desire to “take revenge” on society.  He praised other mass shooters and had images of a layout of his high school guns and ammunition. Henderson partially livestreamed the shooting on the Australian platform Kick according to the company which apologized.
parkland shooting survivor and gun-control activist becomes dnc vice chair,Former student-turned-gun-control activist David Hogg 24 was among three people elected to the position Saturday during a meeting in National Harbor Md. just outside of Washington DC to elect the DNC's next suite of leaders.,2025-02-02T17:09:45Z,nypost.com,https://nypost.com/2025/02/02/us-news/parkland-shooting-survivor-david-hogg-becomes-dnc-vice-chair/,A survivor of the 2018 Parkland high school shooting has become one of the new vice chairs of the Democratic National Committee. Former student-turned-gun-control activist David Hogg 24 was among three people elected to the position Saturday during a meeting in National Harbor Md. just outside of Washington DC to elect the DNC’s next suite of leaders. “I’m deeply grateful to the members for their trust and belief in me and I don’t take it lightly” Hogg wrote on X after clinching the role. Hogg has nudged Democrats to become less judgmental and more forceful in their messaging as the party dithers over what direction to take under the second Trump administration. “It’s time we stop surrendering go on offense and take the fight to Donald Trump” he added on X. “We need to show [the public] who we are again to rid our party of its judgmental attitudes and do the work to win back every group we lost this year.” Hogg notched around 215 votes and Pennsylvania state Rep. Malcolm Kenyatta scored 298 votes above the 205 threshold. Artie Blanco from Nevada nabbed the third vice chair role during the third round of voting. Minnesota Democratic–Farmer–Labor Party Chair Ken Martin landed the coveted position of DNC chairman succeeding Jaime Harrison. Hogg was thrust into the national spotlight after a gunman stormed Marjory Stoneman Douglas High School in Parkland Fla. in February 2018 and slaughtered 17 people while injuring 17 others. The deadly mass shooting sparked national outcry over killer Nikolas Cruz’s previous violent threats and how he got access to the AR-15 he used for the slaughter while Hogg quickly emerged as one of the leading activists for gun control playing a key role in the March for Our Lives demonstration. Hogg later graduated from Harvard University and moved to DC. “After Parkland our country was in a similar moment — where we had a Republican trifecta in Washington” he said during the DNC election over the weekend. “We went on the offense put the Republicans on the defense and we won. That’s what we need to do right now.” During the DNC elections Democrats acknowledged that the party faced a drubbing in the 2024 cycle with President Trump sweeping all seven battleground states and winning the presidential popular vote as a Republican for the first time in two decades. Moreover the GOP swept back to power in the Senate and has been buoyed by a feeling that conservatives are on the cultural ascendency with prominent companies such as Meta making concessions to them. Progressive protests during Trump’s inauguration last month also paled in comparison to the behemoth demonstrations that erupted during his first inauguration back in 2017. Hogg vowed to help change this dynamic as Democrats continue soul-searching over what went awry in November. “We’re going to show people that the reason people should vote for us isn’t just because we’re not Republicans — it’s because we’re damn Democrats. We give a sh-t” he pledged. “And we deliver.  Now it’s time to rebuild the party and to rethink the way we’ve been doing things.” But Hogg’s victory to serve as a DNC vice chair was greeted with delight from his conservative detractors. “I love when they don’t learn” Donald Trump Jr. swiped on X. Conservative activist and organizer Scott Presler added “The democrats just elected rabid anti-gun activist David Hogg as Vice Chairman for the DNC.  “In 2023 Hogg posted ‘You have no right to a gun.’ To every hunter/gun owner in America it’s time to vote” Presler said. “There are so many quotes. There is so much content to work with. Democrats just gave us a huge gift by electing anti-gun David Hogg as DNC Vice Chair.” Andrew Pollack a big Trump backer who lost his daughter in the Parkland shooting wrote sarcastically “I officially endorse David Hogg to be DNC Vice Chair.  “David is the greatest gun salesman of all-time & I think he will do an even better job pushing young men further to the right.”
florida man arrested for allegedly making ‘violent’ threats against president trump,"A Florida man ​has been arrested for making ""violent"" threats against President Trump police said.",2025-01-25T17:15:01Z,nypost.com,https://nypost.com/2025/01/25/us-news/florida-man-arrested-for-allegedly-making-violent-threats-against-trump/,A Florida man has been arrested for making “violent” threats against President Trump police said Saturday.   Shannon Depararro Atkins​ allegedly made posts on social media targeting the ​commander in chief. Atkins 46 was arrested just before 7:30 p.m. Friday during a traffic stop in West Palm Beach — where he was allegedly found with three baggies of cocaine in his pocket cops said. Authorities arrested Atkins after receiving a Jan. 19 tip pointing to disturbing posts the man had allegedly been sharing in the days before Trump’s inauguration. “America needs one good bullet to be saved” Atkins allegedly wrote on Facebook on Jan. 19 a day before Trump was inaugurated for his second term. Two hours later the same day Atkins confessed on his Facebook page that he’d been banished from Elon Musk’s X.  “I’ve been banned from “X” because I said I hope and pray someone kills him” he wrote in an apparent reference to Trump. “History is supposed to repeat itself. We haven’t had an assassination in years.” He allegedly kept going writing later in the day “Bullets please. Please Jesus! Save America” over an image of a meme calling inauguration day a “day of mourning.” “That gives you a flavor of some of the posts that this gentleman posted” West Palm Beach Police Chief Tony Araujo said at a news conference adding that the posts reflected “violent rhetoric.” Atkins had been sharing his negative feelings for Trump for months but volume dramatically increased leading up to and following the inauguration. On Friday — shortly before the arrest — he reposted a meme showing the president with his late first wife Ivanka Trump that included the phrase “I hope they get back together soon.”  Atkins allegedly included a row of smiling emojis with the post.  Atkins allegedly admitted to the violent social media posts — but claimed he was simply “joking.” “Folks this is not a joke. Nothing of that sort is a joke” Araujo said. “In today’s climate you really can’t say things like this. We have incident after incident example after example of when these threats become real. And we take these very seriously.“ Voter registration details show that Atkins voted Democrat since at least 2008. He is believed to own Big Mama’s House of Sweets a baked goods shop in West Palm Beach. Atkins was being held at the Palm Beach County Sheriff’s Main Detention Center and faces a drug possession charge as well as one count of written or electronic threats to kill do bodily injury or conduct a mass shooting or an act of terrorism a second-degree felony. The secret service will determine whether they will pursue additional federal charges over Atkins’ social media threats. The arrest comes months after Trump survived two assassination attempts including a shooting during a Butler Pa. rally in July in which a bullet grazed the then-candidate’s ear.  Additional reporting by Georgia Worrell
nashville school gunman 17 who killed teen girl appeared to be ‘self-loathing incel’ adl says,"""I was so miserable. I wanted to kill myself” he also allegedly wrote at one point.",2025-01-23T05:59:10Z,nypost.com,https://nypost.com/2025/01/23/us-news/nashville-school-gunman-solomon-henderson-who-killed-teen-girl-appeared-to-be-self-loathing-incel-adl-says/,The 17-year-old Nashville school shooter who killed a teenage girl before turning the gun on himself allegedly left a dark trail of hateful online postings and appeared to be a “self-loathing incel” according to the Anti-Defamation League. Teen shooter Solomon Henderson expressed a wide array of troubling views in a purported manifesto and on social media before gunning down 16-year-old Josselin Corea Escalante at Antioch High School on Wednesday ADL representative Carla Hill told The Post Wednesday night. “What happens on the incel forums … is that people of color are told the only reason they’re incels is because of their color and so it pushes them toward other extreme ideology that he apparently took on”  Hill said.  “He picked up antisemitism he posted a lot of anti-black content because of that … internalized racism” said Hill who is senior director of investigative research at the organization. The ADL in a fuller report issued Thursday stated it is believed Henderson self-identified as a “mentalcel” which is someone who is involuntary celibate based on an intellectual or learning disability. Metro Nashville police said Wednesday night investigators were probing “very concerning online writings and social media posts” as they attempt to determine a motive behind the attack that was partially streamed online. Escalante was fatally shot inside the cafeteria of the school and another student was grazed in the arm.  Henderson then fatally shot himself before a confrontation with police. Alleged online writings reviewed by outlets included Henderson stating that he “was ashamed to be black” WTVF reported. Other materials tied to Henderson obtained by the station included a layout of Antioch High School photos of handguns and cartridges to load the weapon.  Henderson also posted antisemitic writings and posted a flyer from the Goyim Defense League which is a neo-Nazi white supremacy group WTVF reported. “I was so miserable. I wanted to kill myself” he also allegedly wrote at one point. “I just couldn’t take anymore. I am a worthless subhuman a living breathing disgrace. All my (in real life) friends outgrew me act like they didn’t f–king know me. Being me was so f–king humiliating. That’s why I spend all day dissociating.” He also had a photo of the Covenant School shooter who killed three children and three staffers in 2023 before killing herself. Purported writings reported on by The Tennessean included statements against “race-mixing” with a desire to “take revenge” on society. Henderson also had statements praising Adolf Hitler and jarring photos from past school shootings the newspaper reported. The ADL Center on Extremism reviewed the purported manifesto and social media posts from the shooter as well as a forum he allegedly participated in that promoted white supremacy and accelerationism which is the desire to see a hastening of the collapse of modern society according to the civil rights organization. “He’s in an incel forum that’s telling him he’s an incel because he’s black no one wants you because you’re black” Hill of the ADL said of one online space. Henderson was also part of a gore forum where mass killers of all ideologies are often celebrated including the recent Madison Wisconsin shooter according to the ADL. The alleged manifesto from Henderson contained a list of “soft targets” including Jews Muslims immigrants and LGBTQ people the ADL said in its Thursday report. “The fact that the Antioch shooter appears to have been active in multiple obscure and extreme online spaces highlights a troubling trend: young people are increasingly finding interconnected online networks that are shaping violence and extremism fueling real-world tragedies” the ADL additionally said Thursday. The shooter partially livestreamed the shooting on the online platform Kick according to the company. “We extend our thoughts to everyone impacted by this event” Kick wrote on X. “Violence has no place on Kick. We are actively working with law enforcement and taking all appropriate steps to support their investigation.”
the 10 safest states in the us in 2025 — and six of them are in one region right near nyc,For crime-weary Gothamites a better life could be just up the road.,2025-01-18T02:48:47Z,nypost.com,https://nypost.com/2025/01/17/lifestyle/the-10-safest-states-in-the-us-in-2025-see-where-new-york-ranked/,Get on I-95 North — and keep going.  For crime-weary New Yorkers a better life could be just up the road. Six out of the ten safest states in the country are in New England according to a new Wallethub survey. Vermont immediately adjacent to the Empire State landed in the number one spot. “With every new headline about a mass shooting terrorist attack hate crime or natural disaster many of us fear for our safety and that of our loved ones. Americans have to worry about their financial safety as well as the government continues to work on slowing down inflation” survey authors wrote. After examining 52 different metrics in five key categories — personal / residential safety financial safety road safety workplace safety and emergency preparedness — the data dumpers said the Green Mountain State soared higher than any other. Neighboring New Hampshire slid into second. The remainder of the New England states easily earned a spot in the top 10. Assaults per capita total loss from climate disasters per capita unemployment rates were just a few of the measurements taken added up and then further sliced and diced to come up with 100 as a perfect score.  Vermont managed a 67.94 — implying that even the safest place in the United States is far from perfect. Recent sensational crimes in the maple syrup mecca included a woman nabbed attempting to smuggle turtles across the Canadian border a suspected arson at the office of Senator Bernie Sanders and a grisly domestic shooting near the village of Pawlet. A New Yorker was later taken into custody for that crime. But the relatively peaceful state was praised for neighborhood safety and a low rate of aggravated assault as well as the seventh fewest murders and non-negligent manslaughters of any state. Vermont really excelled on the financial safety front boasting one of the lowest unemployment rates in the country — 2.1% — and one of the top rates of job growth. Other bright spots included the lowest share of seriously underwater mortgages and the second-fewest personal bankruptcies per capita. Data and identity theft were also mentioned as a low risk. The state was also rated highly for its well-maintained roads and low occurrence of traffic fatalities. The state also has the lowest percentage of drivers who have confessed to using their phones behind the wheel.  “The safest states in America protect their residents from harm in a multitude of different ways from keeping crime rates low and maintaining safe roadways to having strong economies and job markets that prevent people from falling into dangerous financial situations” Wallethub analyst Chip Lupo said.  “They have high levels of occupational safety and disaster preparedness too. In addition states are made safer by efforts that individual residents take such as forming a neighborhood watch or working in firefighting and EMT jobs at high rates” he continued. New York gave a middling performance in the nationwide survey appearing all the way down at number 24. Neighboring New Jersey came out ahead scoring 17th place. 
lgbtq liberals start arming themselves over baseless fear of being placed in ‘concentration camps:’ report,"Gay and transgender liberals around the country are arming themselves over perceived concerns they'll be rounded up and placed in ""concentration camps"" under a second Trump administration.",2025-01-06T00:35:35Z,nypost.com,https://nypost.com/2025/01/05/us-news/lgbtq-liberals-start-arming-themselves-over-baseless-fear-of-being-placed-in-concentration-camps-report/,Gay and transgender liberals around the country are arming themselves over perceived concerns they’ll be rounded up and placed in “concentration camps” under a second Trump administration according to a report.  The Philadelphia Inquirer on Sunday profiled several members of the emerging gun-toting left who belong to groups with names like the Liberal Gun Club the Socialist Rifle Association and Pink Pistols. Although precise figures regarding LGBTQ gun ownership are tough to ascertain given the small cohort the Liberal Gun Club told the outlet that it’s received “thousands” of firearms training requests since the election — more than in all of 2023 combined — and that about a quarter of them were from those in the LGBTQ community. “Three months before the election that’s when the alarm bells started to ring” said a 24-year-old trans woman who recently decided to purchase a gun identified by the outlet only as “A.” “Minorities that are armed are more difficult to legally oppress” she said expressing relief that she’d be ready to fight back “in the event of hate crimes or terrorist attacks.” The Philadelphia chapter of the Socialist Rifle Association — a left-wing take on the National Rifle Association — told the outlet it’s seen a “surge” of paid memberships and that its gun safety classes have been filling up so fast it had to add more. The Delaware Valley chapter of gay gun group Pink Pistols which uses the slogan “Armed Gays Don’t Get Bashed” similarly told the paper they’ve been inundated with inquiries from people seeking firearms training. The group was founded in 2000 after an article was published in Salon by writer Jonathan Rauch in which he said “homosexuals should embark on organized efforts to become comfortable with guns learn to use them safely and carry them.” Wake Forest University sociology professor David Yamane — author of “Gun Curious” — told the Inquirer that a cultural shift in gun ownership is underway in America and that minority groups including gay people have “led the way” among neophyte gun owners since 2020. “It was a period of tremendous social unrest and social uncertainty. And a large number of people in the United States under those conditions look to firearms to reestablish some sense of safety and security” he said. Matthew Thompson of Oakland NJ told the outlet he was inspired to buy his first gun after the 2016 mass shooting at Pulse — a gay nightclub in Orlando Fla. — in which 49 people were killed. The Pulse attack which stands as the worst mass shooting in US history was carried out by a homegrown Islamic terrorist sympathizer named Omar Mateen.  Both then-President Barack Obama and then-presidential candidate Donald Trump denounced the horrific slaughter as a direct attack on the LGBTQ community. However evidence unearthed in the years that followed indicates Mateen had no idea Pulse was a gay nightclub when he started opening fire. Thompson who the outlet writes travels the country to attend “leather and bear events” has been working to sharpen his gun skills at home including wearing his gun around the house and quickly drawing it upon the completion of a timer on his phone. “The people I’ve been seeing on the left and the gay people who are out purchasing guns for the first time it’s all about self-defense and fear” said Thompson 36. “We’re not looking to arm up and storm the capital. We just don’t want to be put in concentration camps.” Meanwhile a recent Gallup poll shows the number of Republican women packing heat is also on the rise with 33% saying they own a gun between 2019-2024 compared to just 19% in the period between 2007-2012. At the same time the proportion of Democratic men who own guns has declined in recent years falling from 36% between 2007-2012 to just 29% between 2019-2024.
la mayor karen bass failed to deploy highly trained $1m crisis response team to help wildfire victims,"""This team is more well funded than any in the country and is sitting on its hands not responding at all"" one longtime volunteer told The Post.",2025-01-16T03:25:57Z,nypost.com,https://nypost.com/2025/01/15/us-news/la-mayor-karen-bass-sidelined-1m-crisis-response-team-during-wildfires/,LOS ANGELES — A crisis response team reporting to LA Mayor Karen Bass – with hundreds of trained volunteers and a nearly million-dollar budget – languished on the sidelines for a week as the city endured its most devastating natural disaster ever The Post has learned. The embattled mayor’s apparent failure to quickly deploy these key support resources is the latest in a series of botched leadership decisions that has characterized her response to the Palisades Fire which has killed nine people wiped out thousands of homes and engulfed an area half the size of Brooklyn New York.  The mayor’s office did not begin putting the volunteers to work helping fire victims until Tuesday — after The Post began asking questions about why its volunteers were idle. “This team is more well funded than any in the country and is sitting on its hands not responding at all” one longtime volunteer told The Post. “I’m stunned by this.” Days after the fires broke out volunteers were notified in an email from interim director Edward Alamo obtained by The Post that their services had not been requested.  In a follow-up email the program manager Ané Vecchione reiterated to volunteers: “At this time we are not deploying to shelters or community resource centers.” Alamo and Vecchione both declined to comment. Joseph Avalos who served as director for the mayor’s Crisis Response Team (CRT) for 13 years until Bass fired him last May told The Post he was “shocked” the team had not received a callout typically a text voice message and email to its 250 members. “Then I got some phone calls from current CRT members that they’re still on standby and not involved yet. Quite honestly I don’t understand why.” Amid the fires multiple volunteers continued to receive text notifications for deployment to smaller tragedies like traffic crashes — but nothing for fire victims.  Avalos said a large callout was necessary for major incidents to quickly identify who was available to swing into action and when. LAFD spokeswoman Margaret Stewart also said she was unaware of CRT being put into action by the mayor’s office. The Los Angeles Mayor’s Crisis Response Team was created in 1992 to work with victims of fires crimes and other incidents according to the CRT website.  The group has previously responded to major tragedies like the 2023 Monterey Park mass shooting. Its trained volunteers offer “immediate on-scene practical and emotional support to survivors” according to the CRT website.  Team members are trained in everything from staffing evacuation centers to providing psychological first aid to survivors. The Palisades and Eaton fires which broke out Jan. 7 have resulted in at least 25 deaths and have damaged or destroyed more than 10000 homes and businesses. “The mayor’s crisis response team should be deployed in this incident because of the multiple fatalities that they have” said former LAFD Battalion Chief Rick Crawford. “The mayor doesn’t have to wait for a request she has all the authority to deploy them at their discretion” noted Crawford who left LAFD earlier this year and is now the emergency and crisis management coordinator for the US Capitol. The volunteer organization operates out of the mayor’s office of public safety — and reported to LA Deputy Mayor of Public Safety Brian Williams. However Williams was placed on administrative leave in late December after the FBI raided his home over a bomb threat he allegedly made against city hall.  The CRT also has no permanent director despite a job posting that went up last year. One of Williams’ staffers Christopher Anyakwo denied that the organization has been sidelined saying “the CRT is currently helping at the disaster recovery center.” However he did not address why emails were sent to volunteers saying the group was not being activated. A Bass spokesperson said the team is working “right now” in the disaster recovery center — but did not specify when the volunteers were mobilized. “We are grateful that they answered our call to serve” the statement said.
florida man accused of threatening trump is drag queen –and close pal of infamous ‘tot mom’ casey anthony,"Shannon Depararro Atkins -- a k a ""Big Momma'' -- regularly hangs out with the former murder defendant and the two even posted pictures together on their now-scrubbed social media The Post can reveal.",2025-01-27T22:08:40Z,nypost.com,https://nypost.com/2025/01/27/us-news/florida-man-accused-of-threatening-trump-is-drag-queen-and-close-pal-of-infamous-tot-mom-casey-anthony/,A Florida man accused of making “violent” threats against President Trump is a well-known comedy drag queen who counts notorious “tot mom” Casey Anthony among his close friends. Shannon Depararro Atkins — a k a “Big Momma” — regularly hangs out with the former murder defendant and the two even posted pictures together on their now-scrubbed social media The Post can reveal. “Yes they are friends” a pal of Anthony’s confirmed. “She always said that he was really funny and she liked to hang around him because he made her laugh so much.  “She doesn’t like Trump either but I don’t think their friendship is based on that. I think they just have similar senses of humor” the source said. Atkins a 46-year-old bakery owner was arrested Friday on suspicion of making threats against Trump on social media. He was busted during a traffic stop in West Palm Beach — where he also was found with three baggies of cocaine in his pocket cops said. He faces a second-degree felony charge of written or electronic threats to kill do bodily injury or conduct a mass shooting or an act of terrorism as well as a felony rap for cocaine possession. Atkins is known in the South Florida area as the owner of “Big Mama’s House of Sweets” a bakery that specializes in cheesecakes. As part of his business he has adopted the drag persona “Big Momma” and has appeared at brunches and other events in the Palm Beach area. Authorities arrested Atkins after receiving a Jan. 19 tip pointing to disturbing posts he allegedly had been sharing in the days before Trump’s inauguration. “America needs one good bullet to be saved” Atkins allegedly wrote on Facebook on Jan. 19 a day before Trump was inaugurated for his second term. Two hours later Atkins complained about being banned from X. “I’ve been banned from ‘X’ because I said I hope and pray someone kills him” he wrote in an apparent reference to Trump. “History is supposed to repeat itself. We haven’t had an assassination in years.” Atkins then allegedly kept going writing later in the day “Bullets please. Please Jesus! Save America” over an image of a meme calling inauguration day a “day of mourning.” West Palm Beach Police Chief Tony Araujo said at a news conference that the posts reflected “violent rhetoric.” “That gives you a flavor of some of the posts that this gentleman posted” the cop said. Atkins allegedly admitted to the violent social media posts — but claimed he was simply “joking.” Atkins’ pal Anthony is no stranger to the law herself.  She first entered the public consciousness after the disappearance of her 2-year-old daughter Caylee in 2008. The little girl had been missing for more than a month before Casey’s mother Cindy called 911 to report the disappearance. When the little girl’s remains were found six months later Anthony was charged first-degree murder.  She was later acquitted in a 2011 murder trial that became a media circus with an estimated 40 million Americans watching at least part of the court proceeding — and the verdict seen by nearly 100 million people worldwide. Anthony’s pal who spoke to The Post said she will stick by Atkins after his arrest. “She is very loyal” the friend said. “It’ll take more than an arrest for her to turn her back on him. She’s going to remain close to him.” 
