,labels,american,attack,authority,black,called,case,child,city,come,community,control,country,county,court,crime,day,death,department,did,didnt,dont,enforcement,family,federal,fight,firearm,going,government,group,gun,ha,health,help,high,home,house,im,including,just,killed,killing,know,later,law,left,letter,life,local,long,make,man,matter,medium,member,million,month,national,need,office,officer,official,old,people,place,police,political,president,public,report,republican,right,say,school,shooter,shot,state,story,student,support,texas,thats,thing,think,threat,time,took,trump,used,victim,video,violence,want,way,week,weons,white,woman,work,year,york
2274,left,0.0,0.0,0.0,0.4342311404422463,0.0581127442975035,0.0640020015491749,0.0625288637070227,0.0,0.0600070784073297,0.0607748520863912,0.1343311770700863,0.0,0.0,0.0,0.0,0.0476726992847844,0.0,0.0,0.0562511415287044,0.0,0.0,0.0,0.0,0.0,0.167149575451012,0.0,0.0,0.0,0.0600415131509384,0.5034541253765656,0.1830785261796471,0.0,0.0,0.0586313641928008,0.0,0.0,0.0694497384116678,0.0,0.0,0.0459942912341524,0.0,0.0,0.0,0.0,0.0,0.0561015846942582,0.0509513227621075,0.0,0.12792439939764,0.0,0.0,0.0552788655195348,0.0,0.0,0.0,0.0,0.1802279740360176,0.0658132887479849,0.0669428980975452,0.0,0.0569190939453419,0.0,0.0341166504741497,0.060249037936628,0.0,0.1434603371410304,0.0,0.0,0.0,0.2133096148636532,0.0,0.0,0.0,0.0,0.1077372944648692,0.1843073641658555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0442772464886632,0.0,0.0716246705034062,0.0,0.0534593939686526,0.0,0.2196205979518311,0.0,0.0,0.0,0.0,0.1970577121890426,0.3446004715230556,0.0640817796071249,0.1853635617194873,0.0
1151,left,0.0,0.055740692399378,0.118575044224641,0.0,0.0,0.1221005060680102,0.0,0.0,0.0,0.0,0.0,0.0,0.0652459151953939,0.0658326574209166,0.1277957245245016,0.0909481042374571,0.0,0.0,0.1609705793876054,0.1920759414994183,0.0581073351431389,0.3769118028132495,0.1029786826758326,0.0,0.0,0.0669995395888036,0.057437277821786,0.0,0.0,0.1309731840821097,0.0349270025243586,0.1345750804926685,0.0626161168990167,0.0,0.0578708506171169,0.0,0.0662467422978968,0.095853728169148,0.0445702523844907,0.0438730516233507,0.0,0.1131823754670091,0.0577032372143156,0.5236807285782848,0.0,0.0,0.0,0.1211219088778104,0.06101228683019,0.0,0.057837241593362,0.0,0.0,0.0561467273646788,0.0,0.0,0.0,0.062778004340652,0.3831330991620317,0.2312147034093136,0.1085880129907978,0.0,0.0325432032390305,0.0,0.0869270221514236,0.0,0.0,0.0,0.1135680313958919,0.0,0.0,0.0564634237800652,0.0991720584787999,0.0,0.0,0.0879035885284829,0.0689310745317781,0.0,0.0615489133158774,0.0,0.0633111926055848,0.0,0.0,0.0,0.1689407853724693,0.0,0.0,0.0,0.1019877331906,0.0,0.0523729444075942,0.0602275111579136,0.0574042229101768,0.1045284637299146,0.0,0.0,0.0,0.0,0.0353629326344248,0.0
1084,left,0.0585411623851402,0.0556643686819145,0.0,0.0,0.0,0.0609666591268777,0.0,0.1117014564658532,0.0,0.2315702384895301,0.0,0.0546923777981872,0.0,0.0657425151401414,0.0,0.0,0.061157063093008,0.0630184201987939,0.0,0.0,0.0,0.1254652370302925,0.1542565165258708,0.0631418738978955,0.0,0.0,0.0,0.1339110275401978,0.0571939998301881,0.0,0.1395167129636695,0.0,0.062530378911038,0.0,0.0,0.0597437616176873,0.0,0.14358371868026,0.0445092239472065,0.0,0.0,0.0,0.0,0.0475421519513885,0.0569327368476228,0.320645552427408,0.0,0.0,0.1218574898176294,0.0535548341469758,0.0,0.0,0.063348940273186,0.0,0.0,0.0,0.0,0.0626920446860447,0.1275361629477342,0.0,0.0,0.0,0.1624932150293925,0.0573916825989027,0.0,0.0,0.2754144090502501,0.0,0.0,0.0,0.2079075602327637,0.0,0.0,0.0,0.0,0.1755664506373222,0.0,0.0,0.184393909833694,0.0662953452552791,0.0,0.0633905519624613,0.0,0.0695655242907523,0.0,0.1176383376631313,0.6140503561393946,0.0,0.0,0.0673404095986614,0.0523012320258559,0.0601450438015303,0.0573256213804502,0.0521926683393783,0.0,0.0625707013142967,0.0656515076834446,0.0,0.035314511447624,0.0
2526,left,0.0,0.0,0.0926033050801851,0.0,0.0865821736955189,0.0,0.0,0.0,0.0894045419542721,0.0,0.100070005696714,0.0,0.1019099327279755,0.1028263864332016,0.0,0.0,0.0,0.2956970727675048,0.0,0.0,0.0,0.1962373498992108,0.0,0.0,0.0830120469544662,0.0,0.0897133422278898,0.0,0.0,0.0681905696778334,0.0545537366896877,0.0,0.0,0.0,0.0,0.0,0.0,0.0748586862502401,0.0,0.2055806739525502,0.0,0.088391803803295,0.0901287537325012,0.1487192170241314,0.0890472107328756,0.0835857471422288,0.0,0.1891846493172195,0.0952972768919572,0.0,0.0,0.0823599779009095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4514281621998274,0.0,0.0751466448281062,0.2033215806942392,0.0,0.543097722097411,0.0,0.0861538941548075,0.0,0.0,0.0,0.0,0.0881922447065903,0.0,0.0871603132231834,0.0802588937728355,0.0,0.1076659151360405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1319373329407688,0.0,0.0,0.0,0.0,0.0,0.0818031784114007,0.0,0.0,0.0,0.1031125737222284,0.0,0.0,0.0954754389890413,0.0552346315481306,0.1024714585162309
1663,left,0.6848204508683456,0.0255359775120816,0.0,0.0,0.0126974183744573,0.0139841991682959,0.1229609162858689,0.0768644093498597,0.1442245566089042,0.0531163160793853,0.0293508623041482,0.2132656595622123,0.0,0.0,0.0439094215615753,0.0937467665068,0.0561114919589634,0.0,0.0983253207763528,0.0,0.0133100930364361,0.0431677958524277,0.1061475508580546,0.0,0.0973908272626805,0.0,0.0394698281904193,0.0921473395510885,0.0131188471914189,0.0,0.1520075113893941,0.0,0.0143428766687244,0.0128107348916432,0.0795355426898261,0.0274073952383134,0.0,0.0439125985274603,0.1123021086541025,0.0200991629528588,0.0142148739297571,0.090739625271736,0.0264350603562921,0.0981446315361663,0.0261178402318701,0.0245159749705247,0.1335920930246522,0.0,0.0279510052242155,0.1105570372521164,0.0,0.0362346792214932,0.0,0.0643049765640071,0.1097094243257961,0.0772526009603968,0.026252761097184,0.0287599173618112,0.0292535482403544,0.0397216100969311,0.0,0.0440815169263232,0.0596348893643997,0.0789851435089894,0.0,0.0783638745184258,0.0884422733210091,0.0,0.0,0.0466073570601369,0.0596108752826446,0.0129335379400397,0.0227163975376966,0.0,0.0235401979185368,0.2617580758555092,0.0631575351276673,0.0,0.0281968450457361,0.0152064640782006,0.0,0.0290803569271017,0.0284841459924864,0.0159565598781504,0.1354417902483323,0.0269832391551078,0.0782486198430553,0.0273576781524592,0.0,0.0,0.0,0.0137957415340097,0.0394471134704406,0.0478866763988981,0.0151216287641664,0.0,0.1807054096043369,0.1400163037708051,0.2592079900389626,0.030055216326563
1892,left,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1594856870174331,0.0,0.0,0.0762987107120826,0.0,0.0,0.0890187828369552,0.063351802813988,0.0,0.0,0.0,0.0,0.0809517574643044,0.0,0.0,0.0,0.0740411675394967,0.0,0.0,0.0,0.0,0.7906782754037502,0.2432913357962584,0.0,0.0,0.0,0.0,0.0833456537826854,0.0,0.133537835381433,0.0,0.0,0.0,0.0788395491332475,0.0,0.0,0.0,0.0745528695547821,0.0,0.0,0.0,0.0,0.0,0.0734595657622487,0.0,0.0,0.0,0.0783081655817286,0.0798344212654957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1536869682251094,0.0,0.0,0.0,0.0,0.1573231116584008,0.0,0.0,0.0,0.0,0.0,0.0,0.3429854554964371,0.0,0.0,0.0,0.0,0.0,0.0588396174493818,0.0,0.0,0.0831944645511419,0.0,0.0,0.0,0.0,0.0,0.1456229720935588,0.0,0.0,0.0,0.0,0.0,0.0913976549955276
1704,left,0.0,0.0,0.0,0.0,0.1248951149421435,0.0,0.0,0.0,0.0,0.0,0.0,0.1233962697294353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1309215425255575,0.141536561889714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6885560932535039,0.0786939727147855,0.1516054477476893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3954012056951621,0.0,0.0,0.0,0.1072640181664542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1266461180268679,0.1291144986360881,0.0,0.0,0.0,0.1223297379368736,0.1083993210464812,0.219969115238957,0.0,0.0979275662804291,0.0,0.0,0.0,0.1279399736308225,0.0,0.0,0.0,0.1117222020205856,0.0,0.1157737595978879,0.0,0.0,0.0,0.0,0.0,0.0,0.1430209832368437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1519326034276479,0.0,0.1356985076642311,0.0,0.1177564560105549,0.0,0.0,0.0,0.0,0.1593523322768636,0.0
1154,left,0.0,0.0,0.0,0.0866901061362339,0.0,0.0,0.0,0.0,0.0,0.0,0.0804538153510885,0.2063236625656398,0.0,0.0,0.0,0.0571043986839317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1096470708350544,0.0438598581841408,0.0,0.1572613627703739,0.0702311563322177,0.4360306555294291,0.0751265667396057,0.0,0.3009226830292693,0.0,0.1101878594341809,0.1558578866314323,0.0,0.144922588144841,0.0,0.1431835203756263,0.0,0.0,0.0,0.0,0.0,0.0726295711255954,0.0,0.2389800170152578,0.070506694583968,0.0,0.0,0.0,0.0,0.0,0.0,0.1363602515547245,0.0604160481970754,0.3269310678295068,0.0,0.4366371676209136,0.0,0.0692656050516814,0.0696099312346085,0.071306974421896,0.0,0.0,0.0,0.0622680463013675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0749902869532178,0.128071898272463,0.0,0.0657677369479664,0.0,0.0,0.0,0.2486998949045552,0.0,0.0825554374211994,0.0,0.1776291233969475,0.0
1726,left,0.0,0.0,0.0,0.0851317981755562,0.2050759497594664,0.0,0.0735533789653824,0.0689687081143309,0.0705869756306482,0.0,0.0,0.0,0.0,0.0811838355713558,0.0,0.056077912005982,0.0,0.0,0.3970129586376734,0.0,0.0,0.0,0.0,0.0,0.0655399514089802,0.0,0.1416615613292444,0.1653634762503451,0.0,0.0,0.1292143507959144,0.0,0.0,0.0,0.0713654560659098,0.0737761205096202,0.3267779150681328,0.0591026825548827,0.3297801592138078,0.0,0.0,0.0,0.0711587577574157,0.0,0.0,0.0659929011169895,0.0599345922783481,0.0,0.1504788552035814,0.0661335642570301,0.0,0.0650251276496185,0.0782280680895001,0.0,0.0,0.0,0.0,0.0,0.078745655380536,0.0,0.0,0.1186600651658064,0.1203953553248142,0.1417431904861174,0.0,0.0,0.0680205132117479,0.0,0.0,0.0,0.0,0.0,0.1222974797650767,0.0,0.0,0.0542006866865523,0.1700095132045129,0.0,0.0,0.0,0.1561488067375261,0.3913972667708073,0.1533491066248883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1485433082688394,0.0,0.0,0.0,0.1545340793930981,0.0,0.0,0.0872180653428073,0.2427108350542768
1807,left,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0773134352461035,0.0,0.0,0.0,0.0,0.0774676457067363,0.0,0.0,0.0,0.0,0.064305271648068,0.2431989607535543,0.0694964291819594,0.0,0.0,0.6338857938595142,0.0422600452097249,0.0,0.0,0.0676694354384382,0.0700210320567585,0.0,0.0,0.0579892718123148,0.1078558561940044,0.106168695340995,0.0,0.0,0.0,0.288013306528584,0.0,0.064749688425778,0.0,0.0,0.0738220234614846,0.0648877016716948,0.0,0.063800146438407,0.0,0.0,0.0,0.0680111892793793,0.0693367530111599,0.0,0.0,0.0,0.0,0.0,0.1181272775290315,0.1390729497432115,0.0,0.0,0.0,0.0,0.0,0.0820638203354105,0.0,0.0,0.2399871372834064,0.0,0.0,0.1063592451920253,0.0,0.0784090880468665,0.0,0.4819455782468683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0722549740956328,0.0,0.0,0.0,0.0,0.0,0.0632372846746372,0.0798761421601421,0.0,0.0,0.0739600367074013,0.0427875003254861,0.0
